year,month,rec_visits
2012,3,20248
2012,4,29056
2012,5,268251
2012,6,671825
2012,7,888335
2012,8,780286
2012,9,527610
2012,10,177069
2012,11,14059
2012,12,18472
2013,1,24699
2013,2,31053
2013,3,18613
2013,4,24606
2013,5,293250
2013,6,624429
2013,7,812212
2013,8,725136
2013,9,557925
2013,10,47560
2013,11,11169
2013,12,17378
2014,1,26778
2014,2,28233
2014,3,18778
2014,4,31356
2014,5,310039
2014,6,669642
2014,7,858856
2014,8,773357
2014,9,571764
2014,10,194804
2014,11,11537
2014,12,18340
2015,1,28091
2015,2,34343
2015,3,22989
2015,4,46600
2015,5,386064
2015,6,780768
2015,7,980702
2015,8,854408
2015,9,680213
2015,10,252013
2015,11,11049
2015,12,20470
2016,1,30621
2016,2,36327
2016,3,22924
2016,4,59253
2016,5,444630
2016,6,838316
2016,7,995917
2016,8,841036
2016,9,701754
2016,10,242004
2016,11,24710
2016,12,19685
2017,1,29518
2017,2,32275
2017,3,23897
2017,4,45160
2017,5,419635
2017,6,803652
2017,7,962404
2017,8,916166
2017,9,640068
2017,10,211987
2017,11,10468
2017,12,21294
2018,1,29179
2018,2,34263
2018,3,22741
2018,4,37766
2018,5,446875
2018,6,810884
2018,7,940563
2018,8,813970
2018,9,724454
2018,10,218076
2018,11,13849
2018,12,22380
2019,1,33896
2019,2,31650
2019,3,28695
2019,4,48150
2019,5,434385
2019,6,781853
2019,7,936062
2019,8,820006
2019,9,693118
2019,10,171339
2019,11,15628
2019,12,25506
2020,1,25234
2020,2,41880
2020,3,32516
2020,4,0
2020,5,46219
2020,6,573205
2020,7,955645
2020,8,881829
2020,9,837114
2020,10,359889
2020,11,24132
2020,12,28643
2021,1,35338
2021,2,36897
2021,3,35611
2021,4,67508
2021,5,473799
2021,6,938845
2021,7,1080767
2021,8,921844
2021,9,882078
2021,10,316662
2021,11,33144
2021,12,37749
2022,1,46615
2022,2,47300
2022,3,35593
2022,4,80283
2022,5,523680
2022,6,525363
2022,7,596562
2022,8,582211
2022,9,567587
2022,10,236567
2022,11,17687
2022,12,30794
2023,1,45709
2023,2,45717
2023,3,30044
2023,4,69247
2023,5,454262
2023,6,847864
2023,7,969692
2023,8,846389
2023,9,838458
2023,10,299127
2023,11,20109
2023,12,34764
